Date,Open,High,Low,Close,Volume,Adj Close
2014-07-08,13.640001,13.680001,12.79,12.810001,205600,62.444056
2014-07-07,13.960001,14.140001,13.62,13.630001,114900,66.441254
2014-07-03,14.09,14.09,13.460001,13.65,109800,66.538745
2014-07-02,14.390001,14.47,13.97,14.030001,61400,68.391107
2014-07-01,14.25,14.70,14.25,14.45,93300,70.438452
2014-06-30,14.65,14.65,14.10,14.19,89600,69.171044
2014-06-27,14.510001,14.810001,14.49,14.67,106200,71.510869
2014-06-26,14.85,14.95,14.34,14.630001,57000,71.315887
2014-06-25,14.530001,14.87,14.50,14.830001,69000,72.290814
2014-06-24,15.02,15.37,14.55,14.57,101500,71.023406
2014-06-23,15.280001,15.35,15.010001,15.010001,66400,73.168249
2014-06-20,15.20,15.510001,14.95,15.25,111300,74.338158
2014-06-19,15.480001,15.62,14.930001,15.20,71700,74.094427
2014-06-18,15.330001,15.49,15.15,15.25,57500,74.338158
2014-06-17,15.20,15.45,14.79,15.35,95100,74.825622
2014-06-16,15.22,15.22,15.00,15.17,108700,73.948186
2014-06-13,15.04,15.35,14.710001,15.210001,75800,74.143176
2014-06-12,15.080001,15.40,14.90,15.05,88000,73.363232
2014-06-11,15.460001,15.680001,14.90,15.20,138600,74.094427
2014-06-10,16.110001,16.30,15.74,15.79,84700,76.970457
2014-06-09,15.74,16.32,15.60,16.160001,129000,78.774078
2014-06-06,15.67,16.22,15.52,15.74,148900,76.726726
2014-06-05,15.44,16.25,15.44,15.59,218400,75.995531
2014-06-04,14.62,15.55,14.62,15.390001,213900,75.020611
2014-06-03,14.00,14.880001,13.95,14.65,186400,71.413378
2014-06-02,13.34,14.04,13.20,14.00,126000,68.244867
2014-05-30,13.55,13.77,13.10,13.24,117500,64.540142
2014-05-29,13.930001,13.97,13.37,13.45,84500,65.563818
2014-05-28,14.160001,14.210001,13.59,13.859999,74500,67.562413
2014-05-27,13.87,14.280001,13.87,14.27,93000,69.561016
2014-05-23,13.560001,13.960001,13.54,13.810001,52100,67.318689
2014-05-22,13.460001,13.75,13.359999,13.57,53500,66.148773
2014-05-21,13.60,13.680001,13.210001,13.460001,70500,65.612568
2014-05-20,13.760001,13.77,13.12,13.430001,106000,65.466327
2014-05-19,13.65,14.20,13.44,13.97,129600,67.123699
2014-05-16,13.42,13.69,13.180001,13.660001,43300,65.634201
2014-05-15,13.55,13.72,13.210001,13.45,89300,64.62518
2014-05-14,13.30,13.79,13.210001,13.54,88500,65.057614
2014-05-13,13.57,13.660001,13.00,13.27,149400,63.760307
2014-05-12,13.060001,13.92,13.060001,13.57,130800,65.20176
2014-05-09,12.05,13.410001,12.05,12.92,190100,62.07861
2014-05-08,12.00,12.38,11.850001,11.98,171700,57.562054
2014-05-07,11.88,11.99,11.560001,11.82,78300,56.79328
